Run,Product,OSM,Compare,Pop,Edges,Clusters,Size,Leesalee,Slope,%Urban,Xmean,Ymean,Rad,Fmatch,Diff,Brd,Sprd,Slp,RG
766,0.22991,0.623751091,0.99634,0.93584,0.78718,0.99978,0.99119,0.46878,0.94565,0.85768,0.92804,0.96856,0.92489,0,63,70,80,6,85
767,0.22991,0.623751091,0.99634,0.93584,0.78718,0.99978,0.99119,0.46878,0.94565,0.85768,0.92804,0.96856,0.92489,0,63,70,80,6,100
338,0.22162,0.615352218,0.9918,0.92625,0.80967,0.9997,0.99176,0.46846,0.93394,0.84635,0.91565,0.96771,0.91593,0,63,55,100,3,55
2006,0.22531,0.611637223,0.99209,0.93634,0.79717,0.99604,0.99102,0.46836,0.94505,0.85756,0.90525,0.9693,0.92544,0,68,75,75,12,55
2007,0.22277,0.605463803,0.99055,0.93681,0.79434,0.99659,0.9885,0.46856,0.9466,0.8579,0.89743,0.97022,0.92595,0,68,75,75,12,70
2008,0.22277,0.605463803,0.99055,0.93681,0.79434,0.99659,0.9885,0.46856,0.9466,0.8579,0.89743,0.97022,0.92595,0,68,75,75,12,85
2009,0.22277,0.605463803,0.99055,0.93681,0.79434,0.99659,0.9885,0.46856,0.9466,0.8579,0.89743,0.97022,0.92595,0,68,75,75,12,100
2311,0.2149,0.600434871,0.97713,0.92453,0.7952,0.99877,0.99083,0.46703,0.93581,0.84648,0.927,0.96468,0.91374,0,73,50,100,1,40
1414,0.2135,0.59725116,0.97569,0.92459,0.79027,0.99878,0.99083,0.46631,0.92706,0.84676,0.93646,0.96617,0.91374,0,68,55,100,1,85
1415,0.2135,0.59725116,0.97569,0.92459,0.79027,0.99878,0.99083,0.46631,0.92706,0.84676,0.93646,0.96617,0.91374,0,68,55,100,1,100
2310,0.21374,0.596528625,0.97295,0.92487,0.78897,0.99833,0.99176,0.46648,0.93405,0.84748,0.93581,0.96287,0.91387,0,73,50,100,1,25
1254,0.21316,0.596311244,0.98804,0.92342,0.79631,0.99615,0.99043,0.46825,0.93043,0.84437,0.91632,0.96641,0.91284,0,68,50,100,12,25
