Run,Product,OSM,Compare,Pop,Edges,Clusters,Size,Leesalee,Slope,%Urban,Xmean,Ymean,Rad,Fmatch,Diff,Brd,Sprd,Slp,RG
3418,0.30038,0.774690312,0.9993,0.93794,0.87406,0.99825,0.99436,0.48567,0.95951,0.86531,0.99262,0.99459,0.92788,0,34,89,44,50,33
770,0.30095,0.774563068,0.99854,0.93704,0.87849,0.99992,0.99416,0.48789,0.95908,0.8641,0.98711,0.99543,0.92704,0,33,87,45,55,29
2615,0.29848,0.774136506,0.999,0.93612,0.87327,0.99962,0.99146,0.48651,0.96569,0.86312,0.98656,0.99535,0.92611,0,34,85,44,30,35
5068,0.30045,0.773420441,0.99962,0.93826,0.87515,0.9983,0.99277,0.487,0.96145,0.8656,0.98583,0.99583,0.92825,0,35,85,45,60,33
3016,0.29952,0.773160215,0.99966,0.93695,0.87352,0.99592,0.9937,0.48667,0.95851,0.8643,0.99534,0.99457,0.92684,0,34,87,44,40,33
10757,0.29924,0.77250005,0.99591,0.9377,0.87397,0.99803,0.99545,0.48508,0.9612,0.86471,0.99405,0.99255,0.9277,0,37,91,43,55,35
1463,0.29791,0.772361839,0.99899,0.93655,0.87073,0.9997,0.9923,0.48564,0.95847,0.86396,0.99562,0.99381,0.92643,0,33,91,44,45,35
3412,0.29863,0.772175373,0.99929,0.93659,0.87295,0.99763,0.99301,0.48661,0.96037,0.86381,0.9923,0.99411,0.92652,0,34,89,44,45,33
5240,0.29894,0.77144907,0.99573,0.93681,0.87385,0.99753,0.99674,0.48577,0.96365,0.86338,0.9904,0.99408,0.92696,0,35,87,43,10,29
6153,0.29889,0.770817558,0.99904,0.93809,0.87371,0.9956,0.9937,0.48581,0.95927,0.86553,0.99121,0.99441,0.92803,0,35,91,44,55,31
8675,0.29803,0.770733812,0.99559,0.93716,0.87122,0.99867,0.99605,0.4847,0.96094,0.86375,0.99402,0.99396,0.9273,0,36,93,42,10,35
6435,0.29754,0.77069443,0.99914,0.93633,0.86868,0.99912,0.99482,0.48521,0.96026,0.86349,0.9942,0.99423,0.92625,0,35,93,43,30,31
6836,0.29842,0.770667377,0.99904,0.93659,0.87017,0.99983,0.99674,0.4854,0.96088,0.8639,0.99182,0.99335,0.92646,0,35,95,43,40,29
1019,0.29692,0.770663762,0.99846,0.9354,0.87136,0.99994,0.99391,0.48589,0.95908,0.86203,0.99329,0.99411,0.92551,0,33,89,44,1,35
3807,0.29814,0.770637949,0.99623,0.93732,0.87407,0.99986,0.9923,0.48611,0.95937,0.86506,0.99032,0.99393,0.92715,0,34,91,44,50,31
3802,0.29758,0.770539541,0.99896,0.93674,0.86799,0.99878,0.99277,0.48576,0.95847,0.86427,0.99643,0.99453,0.92658,0,34,91,44,45,33
2229,0.29615,0.770426473,0.99423,0.93617,0.87054,0.99887,0.98973,0.48552,0.9631,0.86388,0.9955,0.99284,0.926,0,33,95,44,35,31
257,0.29682,0.770245338,0.9964,0.93612,0.87259,0.99995,0.99098,0.48664,0.96443,0.86271,0.98719,0.99404,0.92623,0,33,85,44,15,35
