Run,Product,OSM,Compare,Pop,Edges,Clusters,Size,Leesalee,Slope,%Urban,Xmean,Ymean,Rad,Fmatch,Diff,Brd,Sprd,Slp,RG
1052,0.28418,0.740022896,0.98292,0.93142,0.87058,0.99474,0.99402,0.48817,0.96234,0.85887,0.97534,0.99444,0.92143,0,25,75,50,1,50
1066,0.28468,0.737140933,0.99988,0.93374,0.86954,0.99432,0.99193,0.48991,0.95608,0.8602,0.95964,0.99531,0.92388,0,25,75,50,75,25
1195,0.28158,0.734206803,0.9809,0.93707,0.86731,0.99747,0.97899,0.48821,0.95083,0.86581,0.97575,0.99519,0.92677,0,25,100,50,100,1
1063,0.28047,0.725756208,0.99058,0.93397,0.85628,0.97461,0.99365,0.48874,0.9569,0.86123,0.98739,0.99487,0.92399,0,25,75,50,50,75
1064,0.28047,0.725756208,0.99058,0.93397,0.85628,0.97461,0.99365,0.48874,0.9569,0.86123,0.98739,0.99487,0.92399,0,25,75,50,50,100
1198,0.27956,0.722541785,0.98213,0.93724,0.87168,0.97667,0.98994,0.48701,0.95319,0.86567,0.97155,0.99562,0.92707,0,25,100,50,100,75
1199,0.27956,0.722541785,0.98213,0.93724,0.87168,0.97667,0.98994,0.48701,0.95319,0.86567,0.97155,0.99562,0.92707,0,25,100,50,100,100
1561,0.27878,0.722189803,0.96713,0.93432,0.87195,0.99939,0.995,0.4861,0.94861,0.86392,0.97101,0.99571,0.92382,0,50,50,50,50,25
1196,0.27799,0.717445966,0.98499,0.93676,0.86242,0.9868,0.98994,0.48838,0.94904,0.86491,0.96828,0.99425,0.92663,0,25,100,50,100,25
1562,0.2737,0.717041208,0.958,0.93534,0.86694,0.98988,0.98407,0.48444,0.95614,0.86597,0.98021,0.99494,0.92463,0,50,50,50,50,50
1073,0.2769,0.716695685,0.99491,0.93477,0.86689,0.99151,0.98928,0.49049,0.95303,0.86074,0.94431,0.99624,0.92506,0,25,75,50,100,75
1074,0.2769,0.716695685,0.99491,0.93477,0.86689,0.99151,0.98928,0.49049,0.95303,0.86074,0.94431,0.99624,0.92506,0,25,75,50,100,100
1197,0.27687,0.716375448,0.97809,0.9378,0.86245,0.97028,0.98842,0.4864,0.95259,0.86669,0.98395,0.99573,0.92755,0,25,100,50,100,50
1062,0.27571,0.715298124,0.99664,0.93194,0.862,0.96016,0.99689,0.48845,0.95948,0.85851,0.9749,0.99475,0.92205,0,25,75,50,50,50
1061,0.27572,0.714401312,0.99891,0.93173,0.86838,0.9759,0.99365,0.49098,0.95854,0.85818,0.94846,0.99628,0.92184,0,25,75,50,50,25
1186,0.27292,0.71094193,0.96583,0.93377,0.8674,0.97148,0.99284,0.48502,0.9573,0.86351,0.98297,0.99415,0.9232,0,25,100,50,50,25
1060,0.27341,0.709192868,0.99345,0.93089,0.85965,0.98437,0.99708,0.48944,0.95929,0.85787,0.949,0.99546,0.92087,0,25,75,50,50,1
1185,0.27337,0.708135257,0.97322,0.93303,0.86025,0.98186,0.99637,0.48718,0.95364,0.86196,0.97319,0.99484,0.92264,0,25,100,50,50,1
1067,0.27281,0.705898328,0.99818,0.93417,0.86705,0.97991,0.99193,0.4899,0.9551,0.86035,0.93588,0.9968,0.92442,0,25,75,50,75,50
1058,0.27102,0.704169729,0.98579,0.93095,0.85536,0.9749,0.99725,0.48824,0.95163,0.8584,0.97205,0.99472,0.92088,0,25,75,50,25,75
1059,0.27102,0.704169729,0.98579,0.93095,0.85536,0.9749,0.99725,0.48824,0.95163,0.8584,0.97205,0.99472,0.92088,0,25,75,50,25,100
1187,0.2695,0.703488648,0.96503,0.93177,0.86099,0.98559,0.99541,0.48494,0.95543,0.86161,0.97291,0.99184,0.9211,0,25,100,50,50,50
1188,0.26768,0.703384332,0.96534,0.93129,0.85535,0.98318,0.9916,0.48413,0.9537,0.86105,0.98176,0.99365,0.92064,0,25,100,50,50,75
1189,0.26768,0.703384332,0.96534,0.93129,0.85535,0.98318,0.9916,0.48413,0.9537,0.86105,0.98176,0.99365,0.92064,0,25,100,50,50,100
1072,0.27293,0.702445116,0.99478,0.93449,0.8678,0.95893,0.9959,0.49031,0.94941,0.86042,0.9596,0.99669,0.92477,0,25,75,50,100,50
1573,0.27323,0.701371454,0.97456,0.93882,0.86778,0.98287,0.9937,0.48636,0.95152,0.86814,0.94762,0.99678,0.9285,0,50,50,50,100,75
1574,0.27323,0.701371454,0.97456,0.93882,0.86778,0.98287,0.9937,0.48636,0.95152,0.86814,0.94762,0.99678,0.9285,0,50,50,50,100,100
1190,0.27029,0.699098562,0.97662,0.93711,0.87998,0.98087,0.9891,0.48697,0.95612,0.86609,0.92949,0.99582,0.92681,0,25,100,50,75,1
1570,0.27195,0.698962061,0.98318,0.93882,0.8726,0.98206,0.99115,0.48739,0.94727,0.86724,0.93559,0.99707,0.92871,0,50,50,50,100,1
1191,0.27069,0.696067307,0.97293,0.93611,0.869,0.9703,0.99725,0.48675,0.94781,0.86547,0.96052,0.99561,0.92567,0,25,100,50,75,25
1555,0.26398,0.695023936,0.96036,0.93442,0.86972,0.99541,0.98172,0.4844,0.95346,0.86456,0.94284,0.99518,0.92383,0,50,50,50,25,1
1566,0.26895,0.694915281,0.97315,0.93824,0.87348,0.98913,0.98774,0.48677,0.9557,0.86745,0.92565,0.99578,0.92797,0,50,50,50,75,25
1560,0.26822,0.694169021,0.96112,0.93532,0.86575,0.98177,0.99619,0.48456,0.95267,0.8657,0.95838,0.99505,0.92464,0,50,50,50,50,1
1177,0.26419,0.692951511,0.95339,0.93176,0.85203,0.97795,0.99436,0.48274,0.95572,0.86234,0.98708,0.99237,0.92103,0,25,100,50,1,50
1558,0.26458,0.692299318,0.95278,0.93493,0.86491,0.99662,0.98684,0.48398,0.95242,0.8658,0.95131,0.99511,0.9242,0,50,50,50,25,75
1559,0.26458,0.692299318,0.95278,0.93493,0.86491,0.99662,0.98684,0.48398,0.95242,0.8658,0.95131,0.99511,0.9242,0,50,50,50,25,100
1053,0.26557,0.691967138,0.97827,0.92987,0.86168,0.95629,0.99725,0.48787,0.95097,0.85761,0.97593,0.99468,0.91981,0,25,75,50,1,75
1054,0.26557,0.691967138,0.97827,0.92987,0.86168,0.95629,0.99725,0.48787,0.95097,0.85761,0.97593,0.99468,0.91981,0,25,75,50,1,100
1698,0.26748,0.691694199,0.92094,0.94256,0.86236,0.99602,0.98607,0.4799,0.946,0.87769,0.98511,0.9955,0.93105,0,50,75,50,100,75
1699,0.26748,0.691694199,0.92094,0.94256,0.86236,0.99602,0.98607,0.4799,0.946,0.87769,0.98511,0.9955,0.93105,0,50,75,50,100,100
1552,0.2635,0.691159297,0.95135,0.93294,0.86643,0.98495,0.99176,0.48261,0.95309,0.86373,0.96169,0.99556,0.92219,0,50,50,50,1,50
1687,0.26557,0.690439225,0.90585,0.93945,0.86615,0.99982,0.9911,0.47786,0.95247,0.87563,0.98998,0.99358,0.92753,0,50,75,50,50,50
1068,0.26671,0.689235586,0.99733,0.93277,0.8646,0.95887,0.99708,0.48964,0.952,0.8587,0.94239,0.99612,0.92305,0,25,75,50,75,75
1069,0.26671,0.689235586,0.99733,0.93277,0.8646,0.95887,0.99708,0.48964,0.952,0.8587,0.94239,0.99612,0.92305,0,25,75,50,75,100
1176,0.26339,0.688932392,0.96171,0.93278,0.85775,0.96129,0.9903,0.48533,0.95853,0.86249,0.97732,0.99425,0.9223,0,25,100,50,1,25
1686,0.26311,0.688871092,0.90447,0.93936,0.86439,0.99481,0.98607,0.47694,0.9508,0.87575,0.99802,0.99365,0.92736,0,50,75,50,50,25
1692,0.2656,0.688827893,0.91527,0.93947,0.85863,0.99827,0.9911,0.47932,0.94465,0.87491,0.99514,0.99419,0.9277,0,50,75,50,75,50
1065,0.2654,0.687981364,0.99274,0.93311,0.86377,0.97999,0.9914,0.49063,0.95549,0.8589,0.92258,0.99531,0.92337,0,25,75,50,75,1
1051,0.26422,0.68787222,0.98469,0.92976,0.86183,0.93586,0.99803,0.48815,0.95412,0.85731,0.98185,0.99439,0.91964,0,25,75,50,1,25
