  run year index     sng      sdg      sdc       og       rt      pop     area    edges clusters    xmean    ymean      rad    slope  cl_size   diffus   spread    breed  slp_res  rd_grav   %urban    %road grw_rate leesalee  grw_pix 
    9 2014  2       1.00     0.00     0.00    58.60     0.80 25432.40 25432.40 17233.00  2909.40   198.01   193.24    89.97     0.90     8.00     0.25     0.25     0.25    58.87    96.61    36.51     0.00     0.24     0.52    60.40 
    9 2020  3       0.60     0.00     0.00    63.40     1.40 25809.00 25809.00 17405.00  2922.00   198.11   193.08    90.64     0.90     8.00     0.14     0.14     0.14    80.84    94.42    37.73     0.00     0.25     0.38    65.40 
   10 2007  1       1.60     0.00     0.00    53.60     0.20 24941.00 24941.00 16991.00  2887.00   198.06   193.26    89.10     0.90     8.00     0.53     0.53     0.53    62.55     0.79    30.31     0.00     0.22     0.59    55.40 
   10 2014  2       0.80     0.00     0.00    62.60     0.40 25382.20 25382.20 17204.00  2903.40   198.06   193.17    89.89     0.90     8.00     0.25     0.25     0.25    83.85     1.00    36.48     0.00     0.25     0.52    63.80 
   10 2020  3       1.00     0.00     0.00    61.20     1.00 25770.20 25770.20 17374.20  2911.80   198.16   192.98    90.57     0.90     8.00     0.14     0.14     0.14   100.00     1.00    37.71     0.00     0.25     0.38    63.20 
   11 2007  1       1.60     0.00     0.00    53.60     0.20 24941.00 24941.00 16991.00  2887.00   198.06   193.26    89.10     0.90     8.00     0.53     0.53     0.53    62.55    23.74    30.31     0.00     0.22     0.59    55.40 
   11 2014  2       0.80     0.00     0.00    61.40     0.40 25381.00 25381.00 17203.00  2903.80   198.05   193.18    89.88     0.90     8.00     0.25     0.25     0.25    83.85    21.62    36.48     0.00     0.25     0.52    62.60 
   11 2020  3       0.80     0.00     0.00    59.80     1.20 25766.80 25766.80 17377.40  2914.40   198.14   192.98    90.56     0.90     8.00     0.14     0.14     0.14   100.00    19.42    37.70     0.00     0.24     0.38    61.80 
   12 2007  1       1.60     0.00     0.00    55.00     0.40 24963.20 24963.20 17001.20  2890.60   198.10   193.21    89.14     0.90     8.00     0.53     0.53     0.53    62.56    48.74    30.32     0.00     0.23     0.59    57.00 
   12 2014  2       1.00     0.00     0.00    61.40     1.60 25407.80 25407.80 17203.60  2910.00   198.14   193.09    89.93     0.90     8.00     0.25     0.25     0.25    83.86    46.61    36.49     0.00     0.25     0.52    64.00 
   12 2020  3       0.80     0.00     0.00    58.20     1.20 25774.80 25774.80 17385.20  2928.40   198.27   192.95    90.58     0.90     8.00     0.14     0.14     0.14   100.00    44.42    37.71     0.00     0.23     0.38    60.20 
   13 2007  1       1.60     0.00     0.00    55.00     0.40 24963.20 24963.20 17001.20  2890.60   198.10   193.21    89.14     0.90     8.00     0.53     0.53     0.53    62.56    73.74    30.32     0.00     0.23     0.59    57.00 
   13 2014  2       1.00     0.00     0.00    61.40     1.60 25407.80 25407.80 17203.60  2910.00   198.14   193.09    89.93     0.90     8.00     0.25     0.25     0.25    83.86    71.61    36.49     0.00     0.25     0.52    64.00 
   13 2020  3       0.80     0.00     0.00    58.20     1.20 25774.80 25774.80 17385.20  2928.40   198.27   192.95    90.58     0.90     8.00     0.14     0.14     0.14   100.00    69.42    37.71     0.00     0.23     0.38    60.20 
   14 2007  1       1.60     0.00     0.00    55.00     0.40 24963.20 24963.20 17001.20  2890.60   198.10   193.21    89.14     0.90     8.00     0.53     0.53     0.53    62.56    98.74    30.32     0.00     0.23     0.59    57.00 
   14 2014  2       1.00     0.00     0.00    61.40     1.60 25407.80 25407.80 17203.60  2910.00   198.14   193.09    89.93     0.90     8.00     0.25     0.25     0.25    83.86    96.61    36.49     0.00     0.25     0.52    64.00 
   14 2020  3       0.80     0.00     0.00    58.20     1.20 25774.80 25774.80 17385.20  2928.40   198.27   192.95    90.58     0.90     8.00     0.14     0.14     0.14   100.00    94.42    37.71     0.00     0.23     0.38    60.20 
   15 2007  1       1.40     0.00     0.00    56.20     0.20 24952.60 24952.60 16999.00  2887.00   198.05   193.20    89.12     0.90     8.00     0.53     0.53     0.53    87.56     0.79    30.31     0.00     0.23     0.59    57.80 
   15 2014  2       0.40     0.00     0.00    54.40     1.20 25380.60 25380.60 17202.20  2908.40   198.11   193.14    89.88     0.90     8.00     0.25     0.25     0.25   100.00     1.00    36.48     0.00     0.22     0.52    56.00 
   15 2020  3       0.80     0.00     0.00    58.40     0.40 25747.60 25747.60 17381.20  2917.80   198.18   193.04    90.53     0.90     8.00     0.14     0.14     0.14   100.00     1.00    37.69     0.00     0.23     0.38    59.60 
   16 2007  1       1.60     0.00     0.00    60.60     0.80 24964.20 24964.20 17006.60  2885.20   198.01   193.18    89.14     0.90     8.00     0.53     0.53     0.53    87.56    23.74    30.32     0.00     0.25     0.59    63.00 
   16 2014  2       0.80     0.00     0.00    58.80     1.80 25381.40 25381.40 17225.80  2907.40   198.07   193.09    89.88     0.90     8.00     0.25     0.25     0.25   100.00    21.61    36.48     0.00     0.24     0.52    61.40 
   16 2020  3       0.80     0.00     0.00    57.40     1.80 25746.40 25746.40 17397.60  2923.20   198.05   192.98    90.53     0.90     8.00     0.14     0.14     0.14   100.00    19.42    37.69     0.00     0.23     0.38    60.00 
   17 2007  1       1.40     0.00     0.00    54.20     0.20 24949.40 24949.40 17004.00  2882.80   198.03   193.17    89.12     0.90     8.00     0.53     0.53     0.53    87.55    48.74    30.31     0.00     0.22     0.59    55.80 
   17 2014  2       0.20     0.00     0.00    56.80     0.80 25362.60 25362.60 17218.80  2901.40   198.11   193.07    89.85     0.90     8.00     0.25     0.25     0.25   100.00    46.62    36.47     0.00     0.23     0.52    57.80 
