  run year index     sng      sdg      sdc       og       rt      pop     area    edges clusters    xmean    ymean      rad    slope  cl_size   diffus   spread    breed  slp_res  rd_grav   %urban    %road grw_rate leesalee  grw_pix 
  176 2007  1       2.80     0.80     0.00  3891.20    41.40 49199.20 49199.20 23759.60  2455.80   201.78   187.61   125.14     0.87    19.60     1.06    53.08    26.54     1.00    26.64    44.96     0.00     8.00     0.51  3936.20 
  176 2014  2       3.00     0.80     0.00  4009.20    22.60 77758.80 77758.80 25141.80  1663.60   205.77   188.66   157.33     0.83    46.00     1.14    56.90    28.45     1.00    30.30    69.54     0.00     5.19     0.43  4035.60 
  176 2020  3       2.40     0.80     0.00  3622.40    11.80 100795.00 100795.00 23818.80  1224.40   209.25   194.70   179.12     0.82    81.40     1.21    60.41    30.20     1.00    34.85    85.40     0.00     3.61     0.44  3637.40 
  177 2007  1       2.80     1.60     0.00  3922.60    39.60 49272.20 49272.20 23777.40  2451.80   201.55   187.81   125.23     0.87    19.60     1.06    53.08    26.54     1.00    51.64    45.00     0.00     8.05     0.51  3966.60 
  177 2014  2       2.20     2.00     0.00  3968.40    31.00 77725.00 77725.00 25130.60  1658.40   205.37   189.16   157.29     0.83    46.00     1.14    56.90    28.45     1.00    55.31    69.52     0.00     5.15     0.43  4003.60 
  177 2020  3       1.20     0.00     0.00  3586.20    13.60 100577.80 100577.80 23890.80  1209.00   208.82   195.21   178.93     0.82    82.20     1.21    60.41    30.20     1.00    59.85    85.27     0.00     3.58     0.44  3601.00 
  178 2007  1       2.60     2.80     0.00  3903.80    45.20 49214.80 49214.80 23799.80  2442.00   201.45   187.64   125.16     0.87    19.40     1.06    53.08    26.54     1.00    76.64    44.97     0.00     8.03     0.51  3954.40 
  178 2014  2       2.60     0.40     0.00  4011.80    25.20 77675.60 77675.60 25190.40  1665.60   205.16   189.08   157.24     0.83    45.80     1.14    56.90    28.45     1.00    80.30    69.49     0.00     5.20     0.43  4040.00 
  178 2020  3       1.80     1.60     0.00  3646.00    13.60 100740.20 100740.20 23915.80  1228.20   208.70   195.11   179.07     0.82    80.80     1.21    60.41    30.20     1.00    84.84    85.37     0.00     3.64     0.44  3663.00 
  179 2007  1       2.60     2.80     0.00  3903.80    45.20 49214.80 49214.80 23799.80  2442.00   201.45   187.64   125.16     0.87    19.40     1.06    53.08    26.54     1.00   100.00    44.97     0.00     8.03     0.51  3954.40 
  179 2014  2       2.60     0.40     0.00  4011.80    25.20 77675.60 77675.60 25190.40  1665.60   205.16   189.08   157.24     0.83    45.80     1.14    56.90    28.45     1.00   100.00    69.49     0.00     5.20     0.43  4040.00 
  179 2020  3       1.80     1.60     0.00  3646.00    13.60 100740.20 100740.20 23915.80  1228.20   208.70   195.11   179.07     0.82    80.80     1.21    60.41    30.20     1.00   100.00    85.37     0.00     3.64     0.44  3663.00 
  180 2007  1       3.20     2.40     0.00  3901.20    31.40 48943.80 48943.80 23713.20  2473.00   201.30   187.81   124.82     0.87    19.20     1.06    53.08    26.54     8.66     2.63    44.80     0.00     8.05     0.51  3938.20 
  180 2014  2       2.00     0.40     0.00  4028.60    24.60 77474.60 77474.60 25299.60  1661.60   205.36   188.84   157.04     0.83    45.80     1.14    56.90    28.45     1.00     6.29    69.36     0.00     5.23     0.43  4055.60 
  180 2020  3       2.00     1.60     0.00  3636.20    11.40 100529.60 100529.60 24028.60  1214.00   208.79   194.92   178.88     0.82    81.80     1.21    60.41    30.20     1.00    10.82    85.24     0.00     3.63     0.44  3651.20 
  181 2007  1       3.20     0.00     0.00  3901.60    45.40 48872.60 48872.60 23787.00  2455.20   201.17   187.66   124.73     0.87    19.40     1.06    53.08    26.54     8.67    26.63    44.76     0.00     8.08     0.51  3950.20 
  181 2014  2       2.20     0.40     0.00  4032.20    23.60 77354.00 77354.00 25187.80  1676.40   205.45   188.88   156.92     0.83    45.40     1.14    56.90    28.45     1.00    30.28    69.28     0.00     5.25     0.43  4058.40 
  181 2020  3       0.80     0.40     0.00  3648.20    15.60 100438.00 100438.00 23951.00  1212.40   208.92   194.96   178.80     0.82    81.60     1.21    60.41    30.20     1.00    34.81    85.18     0.00     3.65     0.44  3665.00 
  182 2007  1       2.40     0.80     0.00  3870.60    39.40 48844.00 48844.00 23743.80  2467.00   201.59   187.52   124.69     0.87    19.00     1.06    53.08    26.54     8.68    51.63    44.74     0.00     8.01     0.51  3913.20 
  182 2014  2       2.40     1.20     0.00  3957.40    24.40 77238.20 77238.20 25093.00  1686.60   205.69   189.09   156.80     0.83    44.80     1.14    56.90    28.45     1.00    55.28    69.21     0.00     5.16     0.43  3985.40 
  182 2020  3       1.60     0.80     0.00  3629.60    13.00 100277.60 100277.60 23937.40  1236.00   208.95   194.90   178.66     0.82    80.00     1.21    60.41    30.20     1.00    59.80    85.08     0.00     3.63     0.44  3645.00 
  183 2007  1       2.40     0.80     0.00  3870.60    39.40 48844.00 48844.00 23743.80  2467.00   201.59   187.52   124.69     0.87    19.00     1.06    53.08    26.54     8.68    76.63    44.74     0.00     8.01     0.51  3913.20 
  183 2014  2       2.40     1.20     0.00  3957.40    24.40 77238.20 77238.20 25093.00  1686.60   205.69   189.09   156.80     0.83    44.80     1.14    56.90    28.45     1.00    80.28    69.21     0.00     5.16     0.43  3985.40 
  183 2020  3       1.60     0.80     0.00  3629.60    13.00 100277.60 100277.60 23937.40  1236.00   208.95   194.90   178.66     0.82    80.00     1.21    60.41    30.20     1.00    84.80    85.08     0.00     3.63     0.44  3645.00 
  184 2007  1       2.40     0.80     0.00  3870.60    39.40 48844.00 48844.00 23743.80  2467.00   201.59   187.52   124.69     0.87    19.00     1.06    53.08    26.54     8.68   100.00    44.74     0.00     8.01     0.51  3913.20 
  184 2014  2       2.40     1.20     0.00  3957.40    24.40 77238.20 77238.20 25093.00  1686.60   205.69   189.09   156.80     0.83    44.80     1.14    56.90    28.45     1.00   100.00    69.21     0.00     5.16     0.43  3985.40 
  184 2020  3       1.60     0.80     0.00  3629.60    13.00 100277.60 100277.60 23937.40  1236.00   208.95   194.90   178.66     0.82    80.00     1.21    60.41    30.20     1.00   100.00    85.08     0.00     3.63     0.44  3645.00 
  185 2007  1       3.00     0.80     0.00  3826.00    37.40 48338.40 48338.40 23649.20  2486.40   201.53   187.66   124.04     0.86    18.80     1.06    53.08    26.54    33.77     2.62    44.44     0.00     8.00     0.51  3867.20 
  185 2014  2       2.80     1.60     0.00  3976.40    21.60 76568.60 76568.60 25069.60  1688.20   205.34   188.66   156.12     0.83    44.40     1.14    56.90    28.45     1.00     6.24    68.79     0.00     5.23     0.43  4002.40 
  185 2020  3       1.80     0.80     0.00  3633.00    10.00 99600.80 99600.80 23808.40  1224.40   208.84   194.37   178.06     0.82    80.20     1.21    60.41    30.20     1.00    10.74    84.64     0.00     3.66     0.44  3645.60 
  186 2007  1       2.80     2.40     0.00  3812.20    32.60 48389.80 48389.80 23676.60  2478.40   201.33   188.04   124.11     0.86    19.00     1.06    53.08    26.54    33.75    26.62    44.47     0.00     7.96     0.51  3850.00 
  186 2014  2       2.60     2.00     0.00  4029.80    29.00 76735.00 76735.00 25259.60  1660.80   205.32   189.11   156.29     0.83    45.40     1.14    56.90    28.45     1.00    30.25    68.89     0.00     5.30     0.43  4063.40 
  186 2020  3       1.80     1.00     0.00  3657.80    15.40 99944.40 99944.40 23932.20  1224.60   208.83   194.90   178.36     0.82    80.80     1.21    60.41    30.20     1.00    34.76    84.86     0.00     3.68     0.44  3676.00 
  187 2007  1       3.00     2.00     0.00  3832.00    39.20 48393.60 48393.60 23656.60  2433.00   201.21   187.67   124.11     0.87    19.20     1.06    53.08    26.54    33.76    51.62    44.47     0.00     8.01     0.51  3876.20 
  187 2014  2       2.00     1.20     0.00  4028.20    30.20 76648.00 76648.00 25089.80  1673.00   205.07   188.80   156.20     0.83    45.00     1.14    56.90    28.45     1.00    55.24    68.84     0.00     5.30     0.43  4061.60 
  187 2020  3       1.80     0.80     0.00  3675.00    16.60 99703.00 99703.00 23933.80  1224.40   208.53   194.64   178.15     0.82    80.40     1.21    60.41    30.20     1.00    59.75    84.71     0.00     3.71     0.44  3694.20 
  188 2007  1       3.00     2.00     0.00  3832.00    39.20 48393.60 48393.60 23656.60  2433.00   201.21   187.67   124.11     0.87    19.20     1.06    53.08    26.54    33.76    76.62    44.47     0.00     8.01     0.51  3876.20 
  188 2014  2       2.00     1.20     0.00  4028.20    30.20 76648.00 76648.00 25089.80  1673.00   205.07   188.80   156.20     0.83    45.00     1.14    56.90    28.45     1.00    80.24    68.84     0.00     5.30     0.43  4061.60 
  188 2020  3       1.80     0.80     0.00  3675.00    16.60 99703.00 99703.00 23933.80  1224.40   208.53   194.64   178.15     0.82    80.40     1.21    60.41    30.20     1.00    84.75    84.71     0.00     3.71     0.44  3694.20 
  189 2007  1       3.00     2.00     0.00  3832.00    39.20 48393.60 48393.60 23656.60  2433.00   201.21   187.67   124.11     0.87    19.20     1.06    53.08    26.54    33.76   100.00    44.47     0.00     8.01     0.51  3876.20 
  189 2014  2       2.00     1.20     0.00  4028.20    30.20 76648.00 76648.00 25089.80  1673.00   205.07   188.80   156.20     0.83    45.00     1.14    56.90    28.45     1.00   100.00    68.84     0.00     5.30     0.43  4061.60 
  189 2020  3       1.80     0.80     0.00  3675.00    16.60 99703.00 99703.00 23933.80  1224.40   208.53   194.64   178.15     0.82    80.40     1.21    60.41    30.20     1.00   100.00    84.71     0.00     3.71     0.44  3694.20 
  190 2007  1       2.60     2.00     0.00  3703.60    43.00 47935.20 47935.20 23585.00  2488.60   201.19   187.83   123.52     0.86    18.60     1.06    53.08    26.54    58.82     2.62    44.19     0.00     7.83     0.52  3751.20 
  190 2014  2       2.20     1.60     0.00  3941.00    24.60 75763.40 75763.40 25187.20  1699.00   205.06   188.89   155.29     0.83    44.00     1.14    56.90    28.45    22.88     6.21    68.28     0.00     5.24     0.44  3969.40 
  190 2020  3       2.20     0.80     0.00  3727.80    15.40 98953.20 98953.20 24005.40  1230.00   208.42   194.72   177.48     0.82    79.40     1.21    60.41    30.20     1.00    10.68    84.23     0.00     3.79     0.44  3746.20 
  191 2007  1       2.60     0.00     0.00  3766.60    40.80 47972.20 47972.20 23722.40  2523.20   200.92   187.67   123.57     0.86    18.20     1.06    53.08    26.54    58.82    26.62    44.22     0.00     7.94     0.51  3810.00 
  191 2014  2       2.00     0.80     0.00  3959.20    33.00 75792.40 75792.40 25284.60  1721.20   204.92   188.66   155.32     0.83    43.40     1.14    56.90    28.45    22.87    30.21    68.30     0.00     5.27     0.43  3995.00 
  191 2020  3       1.20     0.80     0.00  3680.00    15.20 99111.20 99111.20 24039.80  1225.00   208.64   194.60   177.62     0.82    79.80     1.21    60.41    30.20     1.00    34.69    84.33     0.00     3.73     0.44  3697.20 
  192 2007  1       1.80     0.80     0.00  3774.60    44.40 48025.00 48025.00 23625.20  2517.40   201.40   187.82   123.64     0.86    18.60     1.06    53.08    26.54    58.82    51.62    44.25     0.00     7.96     0.52  3821.60 
  192 2014  2       2.20     2.00     0.00  3976.20    20.60 75770.40 75770.40 25119.60  1702.20   205.30   188.58   155.30     0.83    43.80     1.14    56.90    28.45    22.87    55.21    68.28     0.00     5.28     0.44  4001.00 
  192 2020  3       1.80     1.40     0.00  3720.20    15.20 99023.20 99023.20 24158.20  1236.00   208.78   194.43   177.54     0.82    79.20     1.21    60.41    30.20     1.00    59.68    84.28     0.00     3.78     0.44  3738.60 
  193 2007  1       1.80     0.80     0.00  3774.60    44.40 48025.00 48025.00 23625.20  2517.40   201.40   187.82   123.64     0.86    18.60     1.06    53.08    26.54    58.82    76.62    44.25     0.00     7.96     0.52  3821.60 
  193 2014  2       2.20     2.00     0.00  3976.20    20.60 75770.40 75770.40 25119.60  1702.20   205.30   188.58   155.30     0.83    43.80     1.14    56.90    28.45    22.87    80.21    68.28     0.00     5.28     0.44  4001.00 
  193 2020  3       1.80     1.40     0.00  3720.20    15.20 99023.20 99023.20 24158.20  1236.00   208.78   194.43   177.54     0.82    79.20     1.21    60.41    30.20     1.00    84.68    84.28     0.00     3.78     0.44  3738.60 
  194 2007  1       1.80     0.80     0.00  3774.60    44.40 48025.00 48025.00 23625.20  2517.40   201.40   187.82   123.64     0.86    18.60     1.06    53.08    26.54    58.82   100.00    44.25     0.00     7.96     0.52  3821.60 
  194 2014  2       2.20     2.00     0.00  3976.20    20.60 75770.40 75770.40 25119.60  1702.20   205.30   188.58   155.30     0.83    43.80     1.14    56.90    28.45    22.87   100.00    68.28     0.00     5.28     0.44  4001.00 
  194 2020  3       1.80     1.40     0.00  3720.20    15.20 99023.20 99023.20 24158.20  1236.00   208.78   194.43   177.54     0.82    79.20     1.21    60.41    30.20     1.00   100.00    84.28     0.00     3.78     0.44  3738.60 
  195 2007  1       3.00     1.80     0.00  3659.60    31.80 47437.60 47437.60 23482.80  2488.40   201.00   187.98   122.88     0.86    18.60     1.06    53.08    26.54    83.90     2.61    43.89     0.00     7.79     0.52  3696.20 
  195 2014  2       1.80     0.40     0.00  3958.80    21.60 74789.40 74789.40 25128.20  1731.20   204.74   188.58   154.29     0.83    42.40     1.14    56.90    28.45    48.28     6.17    67.66     0.00     5.33     0.44  3982.60 
  195 2020  3       1.20     1.20     0.00  3661.80    15.80 97822.40 97822.40 24145.60  1256.60   208.25   194.03   176.46     0.82    76.80     1.21    60.41    30.20     3.99    10.60    83.51     0.00     3.76     0.44  3680.00 
  196 2007  1       3.00     2.00     0.00  3655.40    38.20 47397.00 47397.00 23576.60  2523.40   200.82   188.05   122.83     0.86    18.20     1.06    53.08    26.54    83.90    26.61    43.87     0.00     7.80     0.52  3698.60 
  196 2014  2       2.40     1.20     0.00  3939.80    26.00 74793.20 74793.20 25156.60  1735.00   204.82   188.63   154.30     0.83    42.40     1.14    56.90    28.45    48.29    30.17    67.67     0.00     5.31     0.44  3969.40 
  196 2020  3       2.40     1.60     0.00  3682.40     9.20 97793.60 97793.60 24181.20  1240.20   208.41   194.19   176.43     0.82    77.80     1.21    60.41    30.20     4.01    34.60    83.50     0.00     3.78     0.44  3695.60 
  197 2007  1       2.80     0.80     0.00  3672.80    33.40 47475.60 47475.60 23533.40  2531.40   201.18   188.30   122.93     0.86    18.00     1.06    53.08    26.54    83.90    51.61    43.92     0.00     7.81     0.52  3709.80 
  197 2014  2       2.60     1.60     0.00  3907.00    24.40 74887.00 74887.00 25245.20  1732.00   205.02   188.87   154.39     0.83    42.40     1.14    56.90    28.45    48.24    55.18    67.73     0.00     5.26     0.44  3935.60 
  197 2020  3       1.40     1.20     0.00  3742.80    19.00 98081.80 98081.80 24289.60  1247.00   208.40   194.60   176.69     0.82    77.60     1.21    60.41    30.20     3.90    59.61    83.68     0.00     3.84     0.44  3764.40 
  198 2007  1       2.80     0.80     0.00  3672.80    33.40 47475.60 47475.60 23533.40  2531.40   201.18   188.30   122.93     0.86    18.00     1.06    53.08    26.54    83.90    76.61    43.92     0.00     7.81     0.52  3709.80 
  198 2014  2       2.60     1.60     0.00  3907.00    24.40 74887.00 74887.00 25245.20  1732.00   205.02   188.87   154.39     0.83    42.40     1.14    56.90    28.45    48.24    80.18    67.73     0.00     5.26     0.44  3935.60 
  198 2020  3       1.40     1.20     0.00  3742.80    19.00 98081.80 98081.80 24289.60  1247.00   208.40   194.60   176.69     0.82    77.60     1.21    60.41    30.20     3.90    84.61    83.68     0.00     3.84     0.44  3764.40 
  199 2007  1       2.80     0.80     0.00  3672.80    33.40 47475.60 47475.60 23533.40  2531.40   201.18   188.30   122.93     0.86    18.00     1.06    53.08    26.54    83.90   100.00    43.92     0.00     7.81     0.52  3709.80 
  199 2014  2       2.60     1.60     0.00  3907.00    24.40 74887.00 74887.00 25245.20  1732.00   205.02   188.87   154.39     0.83    42.40     1.14    56.90    28.45    48.24   100.00    67.73     0.00     5.26     0.44  3935.60 
  199 2020  3       1.40     1.20     0.00  3742.80    19.00 98081.80 98081.80 24289.60  1247.00   208.40   194.60   176.69     0.82    77.60     1.21    60.41    30.20     3.90   100.00    83.68     0.00     3.84     0.44  3764.40 
  200 2007  1       3.00     0.80     0.00  5565.00    31.80 60479.40 60479.40 24472.80  2119.20   202.62   187.04   138.75     0.85    27.80     1.06    79.61    26.54     1.00     2.82    51.77     0.00     9.26     0.47  5600.60 
  200 2014  2       1.60     0.40     0.00  4970.40    19.00 98062.80 98062.80 23683.80  1223.00   207.80   193.67   176.68     0.82    79.00     1.14    85.36    28.45     1.00     7.14    82.36     0.00     5.09     0.39  4991.40 
  200 2020  3       1.40     1.00     0.00  4044.40    11.00 124549.60 124549.60 21482.60   818.40   211.88   203.61   199.11     0.81   150.80     1.21    90.61    30.20     1.00    12.52   100.51     0.00     3.26     0.41  4057.80 
  201 2007  1       2.80     0.80     0.00  5594.20    25.40 60559.60 60559.60 24546.20  2053.40   202.87   187.05   138.84     0.85    28.80     1.06    79.61    26.54     1.00    26.82    51.82     0.00     9.29     0.47  5623.20 
  201 2014  2       2.20     1.80     0.00  4928.20    25.80 98032.00 98032.00 23632.60  1202.80   208.01   194.01   176.65     0.82    80.40     1.14    85.36    28.45     1.00    31.15    82.34     0.00     5.06     0.39  4958.00 
  201 2020  3       1.40     0.40     0.00  3975.80    12.60 124471.60 124471.60 21317.80   812.60   212.26   203.82   199.05     0.81   151.60     1.21    90.61    30.20     1.00    36.52   100.46     0.00     3.21     0.41  3990.20 
  202 2007  1       2.20     0.00     0.00  5597.40    41.80 60723.60 60723.60 24615.80  2074.20   203.05   187.09   139.03     0.85    28.40     1.06    79.61    26.54     1.00    51.82    51.92     0.00     9.29     0.47  5641.40 
  202 2014  2       1.80     1.60     0.00  4978.60    22.20 98404.00 98404.00 23625.80  1240.80   208.45   194.08   176.98     0.82    78.40     1.14    85.36    28.45     1.00    56.16    82.57     0.00     5.09     0.39  5004.20 
  202 2020  3       1.40     1.20     0.00  4009.00     6.60 124988.00 124988.00 21428.00   817.20   212.63   203.92   199.46     0.81   151.40     1.21    90.61    30.20     1.00    61.55   100.79     0.00     3.21     0.41  4018.20 
  203 2007  1       2.20     0.00     0.00  5597.40    41.80 60723.60 60723.60 24615.80  2074.20   203.05   187.09   139.03     0.85    28.40     1.06    79.61    26.54     1.00    76.82    51.92     0.00     9.29     0.47  5641.40 
  203 2014  2       1.80     1.60     0.00  4978.60    22.20 98404.00 98404.00 23625.80  1240.80   208.45   194.08   176.98     0.82    78.40     1.14    85.36    28.45     1.00    81.16    82.57     0.00     5.09     0.39  5004.20 
  203 2020  3       1.40     1.20     0.00  4009.00     6.60 124988.00 124988.00 21428.00   817.20   212.63   203.92   199.46     0.81   151.40     1.21    90.61    30.20     1.00    86.55   100.79     0.00     3.21     0.41  4018.20 
  204 2007  1       2.20     0.00     0.00  5597.40    41.80 60723.60 60723.60 24615.80  2074.20   203.05   187.09   139.03     0.85    28.40     1.06    79.61    26.54     1.00   100.00    51.92     0.00     9.29     0.47  5641.40 
  204 2014  2       1.80     1.60     0.00  4978.60    22.20 98404.00 98404.00 23625.80  1240.80   208.45   194.08   176.98     0.82    78.40     1.14    85.36    28.45     1.00   100.00    82.57     0.00     5.09     0.39  5004.20 
  204 2020  3       1.40     1.20     0.00  4009.00     6.60 124988.00 124988.00 21428.00   817.20   212.63   203.92   199.46     0.81   151.40     1.21    90.61    30.20     1.00   100.00   100.79     0.00     3.21     0.41  4018.20 
  205 2007  1       1.60     2.00     0.00  5607.40    24.00 60195.60 60195.60 24517.60  2086.20   202.63   187.24   138.42     0.85    28.20     1.06    79.61    26.54     6.87     2.81    51.60     0.00     9.36     0.47  5635.00 
  205 2014  2       1.00     0.80     0.00  4978.80    20.80 97828.80 97828.80 23618.20  1233.60   207.88   193.83   176.46     0.82    78.40     1.14    85.36    28.45     1.00     7.13    82.21     0.00     5.11     0.39  5001.40 
  205 2020  3       1.20     0.80     0.00  4052.40    13.40 124401.20 124401.20 21359.60   818.80   211.92   203.66   198.99     0.81   150.60     1.21    90.61    30.20     1.00    12.50   100.41     0.00     3.27     0.41  4067.80 
  206 2007  1       3.20     1.20     0.00  5600.60    32.20 60372.40 60372.40 24523.20  2073.60   202.84   187.36   138.63     0.85    28.40     1.06    79.61    26.54     6.84    26.82    51.70     0.00     9.34     0.47  5637.20 
  206 2014  2       2.00     1.20     0.00  5003.20    18.20 97914.80 97914.80 23804.00  1252.60   208.02   194.02   176.54     0.82    77.20     1.14    85.36    28.45     1.00    31.13    82.26     0.00     5.13     0.39  5024.60 
  206 2020  3       1.20     1.20     0.00  4041.60    14.00 124702.00 124702.00 21580.00   833.60   212.27   203.88   199.23     0.81   148.20     1.21    90.61    30.20     1.00    36.51   100.60     0.00     3.25     0.41  4058.00 
  207 2007  1       3.00     2.00     0.00  5569.20    23.80 60128.40 60128.40 24514.20  2109.40   202.68   187.35   138.35     0.85    28.00     1.06    79.61    26.54     6.89    51.81    51.56     0.00     9.31     0.47  5598.00 
  207 2014  2       1.20     0.80     0.00  4969.80    27.40 97848.20 97848.20 23737.80  1245.60   208.13   194.12   176.48     0.82    77.60     1.14    85.36    28.45     1.00    56.12    82.22     0.00     5.11     0.39  4999.20 
  207 2020  3       1.60     0.80     0.00  4059.40    15.20 124711.40 124711.40 21488.80   780.60   212.41   204.18   199.24     0.81   158.20     1.21    90.61    30.20     1.00    61.50   100.61     0.00     3.27     0.41  4077.00 
  208 2007  1       3.00     2.00     0.00  5569.20    23.80 60128.40 60128.40 24514.20  2109.40   202.68   187.35   138.35     0.85    28.00     1.06    79.61    26.54     6.89    76.81    51.56     0.00     9.31     0.47  5598.00 
  208 2014  2       1.20     0.80     0.00  4969.80    27.40 97848.20 97848.20 23737.80  1245.60   208.13   194.12   176.48     0.82    77.60     1.14    85.36    28.45     1.00    81.12    82.22     0.00     5.11     0.39  4999.20 
  208 2020  3       1.60     0.80     0.00  4059.40    15.20 124711.40 124711.40 21488.80   780.60   212.41   204.18   199.24     0.81   158.20     1.21    90.61    30.20     1.00    86.50   100.61     0.00     3.27     0.41  4077.00 
  209 2007  1       3.00     2.00     0.00  5569.20    23.80 60128.40 60128.40 24514.20  2109.40   202.68   187.35   138.35     0.85    28.00     1.06    79.61    26.54     6.89   100.00    51.56     0.00     9.31     0.47  5598.00 
  209 2014  2       1.20     0.80     0.00  4969.80    27.40 97848.20 97848.20 23737.80  1245.60   208.13   194.12   176.48     0.82    77.60     1.14    85.36    28.45     1.00   100.00    82.22     0.00     5.11     0.39  4999.20 
  209 2020  3       1.60     0.80     0.00  4059.40    15.20 124711.40 124711.40 21488.80   780.60   212.41   204.18   199.24     0.81   158.20     1.21    90.61    30.20     1.00   100.00   100.61     0.00     3.27     0.41  4077.00 
  210 2007  1       2.40     1.60     0.00  5517.60    24.20 59449.20 59449.20 24424.60  2093.40   202.63   186.93   137.56     0.85    27.60     1.06    79.61    26.54    31.99     2.80    51.15     0.00     9.33     0.47  5545.80 
  210 2014  2       2.20     2.00     0.00  4994.80    22.40 96862.40 96862.40 23657.80  1243.40   208.10   193.46   175.59     0.82    77.00     1.14    85.36    28.45     1.00     7.07    81.60     0.00     5.18     0.39  5021.40 
  210 2020  3       1.60     1.40     0.00  4058.80    10.40 123637.20 123637.20 21494.60   821.00   212.30   203.41   198.38     0.81   149.20     1.21    90.61    30.20     1.00    12.41    99.93     0.00     3.29     0.41  4072.20 
  211 2007  1       2.40     0.40     0.00  5486.60    27.80 59591.20 59591.20 24424.00  2115.80   202.66   187.04   137.73     0.85    27.20     1.06    79.61    26.54    31.97    26.80    51.23     0.00     9.26     0.47  5517.20 
  211 2014  2       1.40     0.40     0.00  4949.80    22.60 96885.20 96885.20 23665.40  1237.60   208.10   193.56   175.61     0.82    77.40     1.14    85.36    28.45     1.00    31.08    81.61     0.00     5.13     0.39  4974.20 
  211 2020  3       0.80     0.80     0.00  4078.00    13.80 123723.20 123723.20 21464.60   822.80   212.31   203.43   198.45     0.81   149.00     1.21    90.61    30.20     1.00    36.42    99.98     0.00     3.31     0.41  4093.40 
  212 2007  1       3.00     0.80     0.00  5474.00    30.60 59605.20 59605.20 24530.40  2118.60   202.65   187.12   137.74     0.85    27.60     1.06    79.61    26.54    31.97    51.80    51.24     0.00     9.24     0.47  5508.40 
  212 2014  2       2.00     0.40     0.00  5007.80    22.00 97288.40 97288.40 23697.20  1223.00   208.03   193.64   175.98     0.82    78.60     1.14    85.36    28.45     1.00    56.09    81.87     0.00     5.17     0.39  5032.20 
  212 2020  3       1.20     0.40     0.00  4071.40    16.80 124070.80 124070.80 21433.40   835.20   212.03   203.56   198.73     0.81   147.20     1.21    90.61    30.20     1.00    61.44   100.20     0.00     3.30     0.41  4089.80 
  213 2007  1       3.00     0.80     0.00  5474.00    30.60 59605.20 59605.20 24530.40  2118.60   202.65   187.12   137.74     0.85    27.60     1.06    79.61    26.54    31.97    76.80    51.24     0.00     9.24     0.47  5508.40 
  213 2014  2       2.00     0.40     0.00  5007.80    22.00 97288.40 97288.40 23697.20  1223.00   208.03   193.64   175.98     0.82    78.60     1.14    85.36    28.45     1.00    81.09    81.87     0.00     5.17     0.39  5032.20 
  213 2020  3       1.20     0.40     0.00  4071.40    16.80 124070.80 124070.80 21433.40   835.20   212.03   203.56   198.73     0.81   147.20     1.21    90.61    30.20     1.00    86.44   100.20     0.00     3.30     0.41  4089.80 
  214 2007  1       3.00     0.80     0.00  5474.00    30.60 59605.20 59605.20 24530.40  2118.60   202.65   187.12   137.74     0.85    27.60     1.06    79.61    26.54    31.97   100.00    51.24     0.00     9.24     0.47  5508.40 
  214 2014  2       2.00     0.40     0.00  5007.80    22.00 97288.40 97288.40 23697.20  1223.00   208.03   193.64   175.98     0.82    78.60     1.14    85.36    28.45     1.00   100.00    81.87     0.00     5.17     0.39  5032.20 
  214 2020  3       1.20     0.40     0.00  4071.40    16.80 124070.80 124070.80 21433.40   835.20   212.03   203.56   198.73     0.81   147.20     1.21    90.61    30.20     1.00   100.00   100.20     0.00     3.30     0.41  4089.80 
  215 2007  1       2.40     2.00     0.00  5415.60    25.00 58909.60 58909.60 24415.60  2120.40   202.54   187.05   136.94     0.85    27.20     1.06    79.61    26.54    57.09     2.79    50.82     0.00     9.24     0.48  5445.00 
  215 2014  2       1.60     0.80     0.00  4954.40    22.80 95866.60 95866.60 23618.00  1267.00   207.61   193.23   174.69     0.82    74.60     1.14    85.36    28.45    14.67     7.03    80.97     0.00     5.19     0.39  4979.60 
  215 2020  3       1.40     0.80     0.00  4070.00     9.60 122686.00 122686.00 21438.80   859.60   211.72   203.11   197.62     0.81   141.20     1.21    90.61    30.20     1.00    12.33    99.32     0.00     3.33     0.41  4081.80 
  216 2007  1       2.80     2.00     0.00  5415.60    33.00 58862.40 58862.40 24395.20  2139.20   202.85   187.04   136.88     0.85    27.00     1.06    79.61    26.54    57.09    26.79    50.79     0.00     9.26     0.48  5453.40 
  216 2014  2       2.20     0.80     0.00  5022.00    18.60 96002.20 96002.20 23803.20  1261.60   208.02   193.37   174.81     0.82    75.20     1.14    85.36    28.45    14.68    31.03    81.06     0.00     5.25     0.39  5043.60 
  216 2020  3       0.80     0.80     0.00  4108.80    13.60 123042.00 123042.00 21568.60   832.80   212.11   203.39   197.90     0.81   146.00     1.21    90.61    30.20     1.00    36.34    99.55     0.00     3.35     0.41  4124.00 
  217 2007  1       2.40     2.00     0.00  5373.20    27.00 58850.00 58850.00 24447.80  2129.60   202.54   187.20   136.87     0.85    26.80     1.06    79.61    26.54    57.09    51.79    50.78     0.00     9.18     0.48  5404.60 
  217 2014  2       2.20     1.20     0.00  5029.00    19.20 96046.60 96046.60 23824.40  1282.40   208.07   193.50   174.85     0.82    74.00     1.14    85.36    28.45    14.67    56.03    81.08     0.00     5.26     0.39  5051.60 
