Run,Product,OSM,Compare,Pop,Edges,Clusters,Size,Leesalee,Slope,%Urban,Xmean,Ymean,Rad,Fmatch,Diff,Brd,Sprd,Slp,RG
24876,0.29785,0.768731593,0.99964,0.93902,0.87086,0.99711,0.992,0.48519,0.95701,0.86658,0.99137,0.99406,0.92895,0,38,95,43,60,25
20467,0.29625,0.767617026,0.99636,0.93592,0.86793,0.99844,0.99515,0.48555,0.96182,0.8625,0.99434,0.99324,0.92602,0,33,95,43,10,35
23358,0.29464,0.766142572,0.99695,0.93567,0.87142,0.99991,0.99324,0.48499,0.9568,0.8624,0.99114,0.99396,0.92573,0,38,85,43,1,25
24923,0.29806,0.766120346,0.98955,0.94145,0.87622,0.99741,0.98973,0.48597,0.95425,0.86822,0.99039,0.99565,0.93164,0,38,95,43,100,40
24090,0.29606,0.765994832,0.99248,0.9374,0.87119,0.99923,0.99493,0.48419,0.96095,0.86526,0.98988,0.9943,0.92726,0,38,90,43,10,1
24091,0.29606,0.765994832,0.99248,0.9374,0.87119,0.99923,0.99493,0.48419,0.96095,0.86526,0.98988,0.9943,0.92726,0,38,90,43,10,5
25610,0.29799,0.765641599,0.99956,0.93997,0.87288,0.99268,0.99384,0.48538,0.96099,0.86764,0.98364,0.99491,0.92992,0,38,100,43,70,10
20474,0.29562,0.764999051,0.99761,0.93655,0.86968,0.9973,0.99493,0.48545,0.96185,0.8635,0.98649,0.99491,0.92655,0,33,95,43,20,15
24098,0.29455,0.764894981,0.99065,0.93638,0.87326,0.99891,0.99515,0.48338,0.95592,0.86434,0.99641,0.99243,0.92619,0,38,90,43,10,40
25621,0.2972,0.764835565,0.99723,0.93981,0.87486,0.99788,0.99124,0.48613,0.95101,0.86736,0.98923,0.99365,0.92973,0,38,100,43,80,10
21227,0.29377,0.76461577,0.99787,0.93489,0.86938,0.9997,0.99436,0.48476,0.95933,0.86187,0.98928,0.99367,0.92482,0,33,100,43,40,40
20458,0.29403,0.764055953,0.99593,0.9358,0.87298,0.99972,0.99324,0.48527,0.95991,0.86226,0.98405,0.99445,0.92595,0,33,95,43,1,45
21190,0.29439,0.763634233,0.99968,0.93616,0.86556,0.99526,0.99436,0.48496,0.9586,0.8632,0.99336,0.99471,0.92614,0,33,100,43,10,20
20477,0.29364,0.762941839,0.9971,0.93473,0.86692,0.99967,0.9959,0.48515,0.96018,0.8614,0.99061,0.99306,0.92476,0,33,95,43,20,30
21270,0.29654,0.762797801,0.98116,0.93919,0.87306,0.9975,0.99261,0.48721,0.95908,0.86474,0.9958,0.99525,0.92957,0,33,100,43,80,35
20457,0.29338,0.762449799,0.9962,0.93539,0.86707,0.99989,0.99266,0.48592,0.9569,0.86195,0.99337,0.99286,0.92548,0,33,95,43,1,40
23418,0.2954,0.76238038,0.99291,0.93793,0.87201,0.99495,0.99384,0.48593,0.95903,0.86456,0.98902,0.99479,0.92804,0,38,85,43,50,50
24154,0.29464,0.76217005,0.99713,0.93753,0.87269,0.99595,0.9947,0.48429,0.95211,0.8654,0.99125,0.99391,0.9273,0,38,90,43,60,45
24910,0.29282,0.76203148,0.99153,0.94029,0.8766,0.99167,0.98095,0.48556,0.95456,0.86709,0.99068,0.99426,0.93043,0,38,95,43,90,30
24176,0.29582,0.761915742,0.99699,0.94092,0.87088,0.99386,0.98859,0.48582,0.9565,0.86837,0.98583,0.99516,0.93095,0,38,90,43,80,45
19786,0.29609,0.761904009,0.98035,0.93653,0.87451,0.99995,0.99725,0.48785,0.96399,0.86183,0.98937,0.995,0.92686,0,33,90,43,50,40
25604,0.29517,0.761860452,0.99411,0.9381,0.86417,0.999,0.99515,0.48441,0.95954,0.86615,0.99298,0.99317,0.92788,0,38,100,43,60,35
21195,0.29459,0.761835587,0.99973,0.93675,0.8654,0.99793,0.99571,0.48514,0.95741,0.86372,0.99114,0.99267,0.92681,0,33,100,43,10,45
25607,0.29524,0.761662029,0.99652,0.93872,0.87748,0.99101,0.99384,0.48473,0.95891,0.86649,0.98213,0.99421,0.9286,0,38,100,43,60,50
21205,0.29311,0.761490084,0.99923,0.93532,0.86508,0.99952,0.99436,0.48521,0.95906,0.86219,0.98828,0.99418,0.92534,0,33,100,43,20,40
24889,0.29418,0.761402337,0.99819,0.9392,0.87214,0.98896,0.98957,0.48469,0.95471,0.86705,0.99139,0.99486,0.92905,0,38,95,43,70,35
19733,0.29403,0.761334631,0.99552,0.93667,0.87504,0.99524,0.99493,0.48522,0.95753,0.86314,0.98488,0.99414,0.92684,0,33,90,43,1,50
20459,0.29334,0.76121886,0.99698,0.93553,0.87625,0.99338,0.99515,0.48525,0.96283,0.86212,0.97995,0.99373,0.92563,0,33,95,43,1,50
25649,0.29386,0.761172595,0.99414,0.94054,0.86897,0.99951,0.98504,0.48537,0.95069,0.86768,0.99138,0.99446,0.93061,0,38,100,43,100,40
25597,0.2929,0.761129828,0.99583,0.93824,0.86966,0.99668,0.9885,0.48432,0.95872,0.86612,0.98568,0.99455,0.92808,0,38,100,43,60,1
25598,0.2929,0.761129828,0.99583,0.93824,0.86966,0.99668,0.9885,0.48432,0.95872,0.86612,0.98568,0.99455,0.92808,0,38,100,43,60,5
20534,0.29537,0.761082394,0.97852,0.93742,0.87327,0.99981,0.9947,0.48745,0.96094,0.86278,0.99345,0.99545,0.92773,0,33,95,43,70,40
21240,0.29399,0.760105351,0.98667,0.93631,0.87174,0.9998,0.99571,0.48622,0.96237,0.86229,0.9863,0.99456,0.92649,0,33,100,43,50,50
19738,0.29331,0.759991386,0.9892,0.93636,0.87049,0.99614,0.99324,0.48632,0.96185,0.86229,0.98983,0.99387,0.9266,0,33,90,43,10,20
21214,0.29324,0.759963005,0.99673,0.93584,0.87323,0.99932,0.99411,0.48598,0.95765,0.86265,0.98042,0.9944,0.92584,0,33,100,43,30,30
24886,0.29431,0.759771828,0.99506,0.93982,0.87788,0.98304,0.99019,0.48525,0.95841,0.86702,0.98691,0.9953,0.92984,0,38,95,43,70,20
24131,0.29352,0.759691695,0.99527,0.93712,0.86912,0.99459,0.99384,0.48485,0.95951,0.8651,0.98893,0.99303,0.92686,0,38,90,43,40,40
20481,0.29311,0.759688484,0.99221,0.93577,0.87144,0.99513,0.99436,0.48615,0.9585,0.86196,0.99045,0.99385,0.92595,0,33,95,43,20,50
14866,0.2941,0.759688096,0.99903,0.93718,0.86903,0.99865,0.98898,0.48855,0.955,0.86408,0.983,0.99593,0.92727,0,28,85,48,90,25
21236,0.29549,0.759570942,0.98564,0.93763,0.87214,0.99717,0.9966,0.48719,0.9615,0.86347,0.98777,0.99508,0.9279,0,33,100,43,50,30
23377,0.29399,0.759470279,0.99766,0.93692,0.87555,0.99597,0.99571,0.48544,0.95965,0.86402,0.97711,0.99367,0.92688,0,38,85,43,20,10
19743,0.29382,0.759362051,0.99262,0.93526,0.87079,0.99985,0.9959,0.48734,0.95321,0.86147,0.99155,0.99399,0.92542,0,33,90,43,10,45
20539,0.29709,0.759359552,0.9719,0.93954,0.89073,0.99933,0.99628,0.48858,0.96301,0.86414,0.97422,0.99579,0.93013,0,33,95,43,80,10
24878,0.29429,0.759319775,0.99432,0.93781,0.86857,0.99979,0.9959,0.4845,0.95534,0.86606,0.98817,0.9933,0.92748,0,38,95,43,60,35
24832,0.29312,0.759295653,0.98591,0.93865,0.87333,0.99102,0.9914,0.48363,0.95844,0.86721,0.99534,0.99374,0.92841,0,38,95,43,20,25
22659,0.29318,0.759196701,0.99523,0.93692,0.87588,0.98685,0.99384,0.4854,0.95788,0.86346,0.98861,0.99471,0.92707,0,38,80,43,20,50
19026,0.29429,0.759164473,0.98049,0.93575,0.87503,0.99899,0.99645,0.48801,0.9602,0.8607,0.99071,0.99504,0.92619,0,33,85,43,20,35
19730,0.29268,0.759043206,0.98873,0.93472,0.87152,0.99997,0.99571,0.48655,0.95657,0.86046,0.99151,0.99364,0.92498,0,33,90,43,1,35
21228,0.29243,0.758868548,0.99281,0.93493,0.86599,0.9993,0.9959,0.48562,0.95895,0.86147,0.99083,0.9943,0.92493,0,33,100,43,40,45
24902,0.29454,0.75874747,0.99723,0.94044,0.87213,0.9949,0.9891,0.48599,0.9519,0.86795,0.98492,0.99453,0.93041,0,38,95,43,80,45
25606,0.29199,0.758493551,0.99178,0.93801,0.86758,0.99833,0.98957,0.48401,0.95945,0.86633,0.98774,0.9933,0.92772,0,38,100,43,60,45
24884,0.29427,0.758423226,0.9957,0.93968,0.87277,0.99114,0.99019,0.48614,0.96091,0.86703,0.97959,0.9955,0.92964,0,38,95,43,70,10
25602,0.294,0.758332324,0.99403,0.93814,0.86348,0.99999,0.99411,0.48517,0.96041,0.8663,0.98649,0.99402,0.92788,0,38,100,43,60,25
22634,0.29448,0.758314832,0.99296,0.93792,0.87562,0.9999,0.99571,0.48624,0.96137,0.86411,0.97154,0.9957,0.92822,0,38,80,43,1,35
