Run,Product,OSM,Compare,Pop,Edges,Clusters,Size,Leesalee,Slope,%Urban,Xmean,Ymean,Rad,Fmatch,Diff,Brd,Sprd,Slp,RG
729,0.29382,0.749870009,0.99945,0.92816,0.85425,0.99993,0.99987,0.49821,0.95691,0.85615,0.98939,0.99956,0.91872,0,49,25,37,89,50
878,0.29262,0.747468175,0.99254,0.92887,0.8556,0.99712,0.99944,0.49691,0.95884,0.85746,0.99214,0.99897,0.91932,0,52,25,37,86,50
587,0.29095,0.745892678,0.99584,0.9283,0.85284,0.99922,0.99376,0.49866,0.9575,0.85675,0.98996,0.99888,0.91874,0,46,25,38,95,50
576,0.29011,0.744042031,0.99966,0.9265,0.85335,0.99748,0.99947,0.49784,0.95791,0.85455,0.98549,0.99975,0.91699,0,46,25,37,80,50
851,0.29041,0.742961543,0.9963,0.9278,0.85676,0.99384,0.9987,0.49816,0.95682,0.8555,0.98756,0.99897,0.91839,0,52,24,37,95,50
846,0.29024,0.742251967,0.99624,0.92823,0.85257,0.99993,0.99947,0.49713,0.95494,0.85666,0.98614,0.99981,0.91867,0,52,24,37,80,50
668,0.29051,0.742182173,0.99611,0.9285,0.8522,0.9982,0.99918,0.49782,0.95801,0.85617,0.98489,0.99978,0.91911,0,49,23,37,86,50
705,0.28753,0.738994717,0.99045,0.92769,0.85105,0.99994,0.99635,0.49665,0.95571,0.85643,0.98949,0.9994,0.91811,0,49,24,38,89,50
731,0.28874,0.73843573,0.99494,0.92806,0.85324,0.99896,0.99971,0.49759,0.95706,0.85565,0.98263,0.99768,0.91867,0,49,25,37,95,50
436,0.28631,0.738416395,0.99783,0.92753,0.85041,0.99965,0.991,0.4981,0.95309,0.8556,0.9851,0.9996,0.91808,0,43,25,38,92,50
726,0.28838,0.738201396,0.99697,0.92716,0.85296,0.99558,1,0.49766,0.95831,0.85544,0.98176,0.99959,0.91762,0,49,25,37,80,50
881,0.28765,0.736047386,0.99598,0.92886,0.85409,0.98477,0.99834,0.49667,0.95411,0.85739,0.99188,0.99956,0.91927,0,52,25,37,95,50
730,0.28778,0.735656745,0.99685,0.9284,0.85625,0.9957,0.99834,0.49804,0.95505,0.85611,0.97651,0.99972,0.91901,0,49,25,37,92,50
613,0.28599,0.73543149,0.9982,0.92698,0.85165,0.99825,0.99541,0.49802,0.95623,0.85497,0.97803,0.99963,0.91754,0,49,21,38,83,50
579,0.2865,0.734502446,0.99348,0.92689,0.849,0.99838,0.99971,0.49781,0.95672,0.85422,0.98474,0.99884,0.91756,0,46,25,37,89,50
701,0.28746,0.733208451,0.99087,0.92788,0.84523,0.99975,0.99997,0.49915,0.96031,0.85515,0.9837,0.99903,0.91854,0,49,24,37,95,50
877,0.28609,0.733056884,0.99158,0.92794,0.84895,0.99767,0.9988,0.4966,0.95096,0.85689,0.98935,0.99979,0.91823,0,52,25,37,83,50
518,0.28632,0.732902709,0.98759,0.92689,0.85411,0.99901,0.99986,0.49877,0.95541,0.85363,0.98317,0.99894,0.9177,0,46,23,37,86,50
936,0.28643,0.732855334,0.99755,0.92746,0.84675,0.99456,1,0.49762,0.95868,0.85563,0.98192,0.9992,0.91796,0,55,22,37,80,50
732,0.28669,0.732620115,0.98044,0.92943,0.857,0.99733,0.9981,0.49615,0.95794,0.85932,0.98226,0.99967,0.91957,0,49,25,38,80,50
486,0.28518,0.732550387,0.98966,0.92571,0.84468,0.9944,0.99918,0.49859,0.96251,0.85266,0.98997,0.99907,0.91647,0,46,22,37,80,50
644,0.28616,0.732404395,0.99295,0.92768,0.84838,0.99806,0.99787,0.49804,0.95579,0.85628,0.98317,0.99928,0.9181,0,49,22,38,86,50
526,0.28366,0.732313311,0.99826,0.92676,0.85316,0.99935,0.99298,0.49752,0.95345,0.85475,0.97423,0.99949,0.91731,0,46,23,38,92,50
575,0.28776,0.7320712,0.97737,0.93024,0.85871,0.99768,0.99942,0.49872,0.9599,0.85602,0.98059,0.9985,0.92129,0,46,25,36,95,50
666,0.28612,0.732045498,0.99557,0.92721,0.84682,0.99419,0.99997,0.49821,0.95399,0.85474,0.98812,0.99925,0.91785,0,49,23,37,80,50
737,0.28564,0.730979925,0.99022,0.92841,0.85729,0.98881,0.99803,0.4971,0.95305,0.85724,0.98464,0.99954,0.9188,0,49,25,38,95,50
494,0.28305,0.730625643,0.9993,0.92617,0.84653,0.99757,0.99429,0.49765,0.95602,0.85406,0.97838,0.99942,0.91674,0,46,22,38,86,50
585,0.28517,0.730588655,0.99207,0.92827,0.84481,0.99818,0.9959,0.49782,0.95448,0.85702,0.98617,0.99947,0.91865,0,46,25,38,89,50
495,0.28422,0.730554432,0.99728,0.9262,0.84661,0.99698,0.99621,0.49862,0.95318,0.85441,0.98389,0.99917,0.91667,0,46,22,38,89,50
552,0.28476,0.730525615,0.99163,0.92798,0.85761,0.99596,0.99649,0.4972,0.95449,0.85668,0.9746,0.99912,0.91838,0,46,24,38,80,50
699,0.28606,0.73040554,0.99871,0.92871,0.85517,0.99927,0.99918,0.4978,0.9538,0.8565,0.96724,0.99889,0.91932,0,49,24,37,89,50
821,0.28546,0.730334299,0.99602,0.92798,0.85333,0.99595,0.99944,0.49758,0.95062,0.85562,0.97863,0.99939,0.91859,0,52,23,37,95,50
497,0.28496,0.730220921,0.99533,0.92737,0.84901,0.99954,0.99621,0.49917,0.95468,0.8548,0.97734,0.99912,0.91805,0,46,22,38,95,50
757,0.28538,0.730195776,0.99496,0.92764,0.8471,0.99282,0.99908,0.49822,0.95831,0.85499,0.98212,0.99949,0.91835,0,52,21,37,83,50
429,0.28601,0.73013289,0.98705,0.9282,0.85063,0.99927,0.99725,0.49995,0.95586,0.85489,0.98204,0.99879,0.91904,0,43,25,37,89,50
523,0.28361,0.730119746,0.99312,0.92645,0.84649,0.99694,0.99541,0.49779,0.95638,0.85503,0.98359,0.99962,0.91686,0,46,23,38,83,50
571,0.285,0.729949064,0.98421,0.92835,0.85513,0.98297,0.99787,0.49793,0.95889,0.85486,0.99226,0.99891,0.91921,0,46,25,36,83,50
441,0.2837,0.729722727,0.98493,0.92651,0.85282,0.99999,0.9959,0.49757,0.95761,0.85576,0.97995,0.99921,0.9168,0,43,25,39,89,50
764,0.28415,0.729535276,0.99296,0.92569,0.84744,0.99043,0.99947,0.49799,0.96011,0.85422,0.98538,0.99952,0.91612,0,52,21,38,86,50
637,0.28477,0.729503603,0.99074,0.92669,0.85282,0.97977,0.99968,0.49852,0.96227,0.85382,0.98845,0.99977,0.91739,0,49,22,37,83,50
854,0.28448,0.729298466,0.986,0.92768,0.85822,0.99407,0.99846,0.49663,0.95271,0.857,0.98127,0.99969,0.91792,0,52,24,38,86,50
561,0.28337,0.728775005,0.98049,0.92842,0.85088,0.99941,0.99217,0.49715,0.95955,0.85808,0.98162,0.9995,0.91866,0,46,24,39,89,50
755,0.28576,0.728535908,0.97537,0.9299,0.85773,0.98768,0.99689,0.49945,0.96019,0.85534,0.98869,0.99876,0.92104,0,52,21,36,95,50
853,0.28433,0.728460708,0.98285,0.92751,0.84889,0.99954,0.99951,0.49646,0.95684,0.85718,0.98484,0.99941,0.91767,0,52,24,38,83,50
400,0.28427,0.728327971,0.98211,0.92664,0.85108,0.99541,0.9988,0.49932,0.95897,0.85296,0.98548,0.99961,0.91751,0,43,24,37,92,50
465,0.28199,0.728070925,0.99804,0.92652,0.84215,0.98784,0.99217,0.49835,0.95309,0.85406,0.99419,0.99883,0.91719,0,46,21,38,89,50
427,0.28409,0.727964745,0.99014,0.92791,0.85275,0.99516,0.99621,0.49876,0.95668,0.85499,0.97669,0.99924,0.91864,0,43,25,37,83,50
694,0.28547,0.727960001,0.97953,0.93006,0.86546,0.97481,0.99702,0.4988,0.95825,0.85617,0.98939,0.999,0.92102,0,49,24,36,92,50
742,0.28383,0.727900247,0.97285,0.92873,0.85866,0.99455,0.99621,0.49586,0.95755,0.85915,0.98639,0.9988,0.91879,0,49,25,39,92,50
647,0.28397,0.727364511,0.99869,0.92748,0.8504,0.99968,0.99787,0.49815,0.95964,0.8555,0.96313,0.9994,0.91804,0,49,22,38,95,50
338,0.28205,0.727307659,0.98005,0.92585,0.84333,0.99999,0.99351,0.49981,0.95787,0.85181,0.99373,0.99853,0.91682,0,43,22,37,86,50
511,0.28454,0.7273046,0.97549,0.92884,0.85824,0.99094,0.99759,0.49897,0.9589,0.8544,0.98496,0.99932,0.91991,0,46,23,36,83,50
827,0.28468,0.727285366,0.99133,0.92834,0.85241,0.98725,0.99947,0.49735,0.95771,0.85712,0.98163,0.9989,0.91873,0,52,23,38,95,50
428,0.28202,0.727189685,0.99006,0.92727,0.84997,0.9919,0.99119,0.49891,0.95263,0.85429,0.98731,0.99892,0.91802,0,43,25,37,86,50
636,0.28287,0.727028515,0.99343,0.92542,0.84821,0.99777,0.99944,0.49837,0.95643,0.85268,0.97768,0.99929,0.91611,0,49,22,37,80,50
420,0.28463,0.726890074,0.98097,0.92776,0.85377,0.99999,0.99971,0.49926,0.95985,0.85404,0.97481,0.99981,0.91864,0,43,25,36,80,50
572,0.28578,0.726858632,0.98083,0.92973,0.85643,0.99988,0.99969,0.49909,0.95732,0.85593,0.97321,0.99907,0.92066,0,46,25,36,86,50
612,0.28399,0.726846234,0.99174,0.92781,0.84824,0.99941,0.99787,0.49789,0.95755,0.85644,0.97384,0.99925,0.91824,0,49,21,38,80,50
546,0.28271,0.726805359,0.99528,0.92623,0.84602,0.99609,0.99885,0.49749,0.95525,0.85377,0.97962,0.99977,0.91684,0,46,24,37,80,50
282,0.28178,0.72650536,0.99583,0.92616,0.85102,0.98572,0.99422,0.4985,0.95422,0.85353,0.98538,0.99867,0.91686,0,40,25,38,80,50
728,0.28439,0.726491839,0.99953,0.92871,0.85508,0.98451,0.99968,0.49726,0.95899,0.85661,0.97021,0.99919,0.9193,0,49,25,37,86,50
318,0.28048,0.726206184,0.98885,0.9247,0.84443,0.99874,0.99395,0.49753,0.95411,0.85349,0.98808,0.9989,0.91509,0,43,21,39,80,50
553,0.28135,0.725889793,0.99071,0.9275,0.84659,0.99938,0.99064,0.49781,0.95378,0.85623,0.97966,0.99927,0.91791,0,46,24,38,83,50
673,0.28166,0.725839917,0.99204,0.92694,0.84634,0.99274,0.99376,0.49753,0.95293,0.85552,0.98643,0.99943,0.91738,0,49,23,38,83,50
554,0.28247,0.725822456,0.99114,0.92736,0.85038,0.99767,0.99621,0.4972,0.95266,0.85609,0.97805,0.99896,0.91776,0,46,24,38,86,50
320,0.28259,0.725587266,0.99291,0.92533,0.84121,0.99763,0.99889,0.49871,0.95332,0.85366,0.98805,0.99906,0.91584,0,43,21,39,86,50
521,0.28337,0.725586269,0.98542,0.92689,0.85181,0.9984,0.99971,0.49879,0.95581,0.85343,0.97835,0.99891,0.91773,0,46,23,37,95,50
880,0.2834,0.725547197,0.99793,0.92798,0.84992,0.98598,0.99971,0.4968,0.95756,0.8563,0.97683,0.99953,0.91843,0,52,25,37,92,50
616,0.28277,0.725480055,0.9991,0.92716,0.84907,0.9999,0.99681,0.49838,0.95493,0.85479,0.96688,0.99912,0.91783,0,49,21,38,92,50
574,0.28445,0.725417471,0.97944,0.92877,0.857,0.99063,0.99834,0.49957,0.95864,0.85488,0.98022,0.99961,0.91969,0,46,25,36,92,50
487,0.28375,0.725346715,0.98849,0.92707,0.8529,1,0.99912,0.49954,0.95605,0.85393,0.97185,0.99881,0.91785,0,46,22,37,83,50
