Run,Product,OSM,Compare,Pop,Edges,Clusters,Size,Leesalee,Slope,%Urban,Xmean,Ymean,Rad,Fmatch,Diff,Brd,Sprd,Slp,RG
2692,0.22142,0.592966581,0.83661,0.92062,0.84294,0.98331,0.99533,0.47914,0.9343,0.86207,0.99475,0.9994,0.90827,0,100,25,50,75,50
1447,0.22699,0.592080689,0.85554,0.92475,0.85243,0.942,0.99632,0.48747,0.94176,0.86495,0.99014,0.99947,0.91264,0,50,25,50,100,50
2073,0.2251,0.590855805,0.8115,0.9279,0.85143,0.99871,0.99426,0.48022,0.93181,0.87245,0.99045,0.99987,0.91457,0,75,25,50,100,75
2074,0.2251,0.590855805,0.8115,0.9279,0.85143,0.99871,0.99426,0.48022,0.93181,0.87245,0.99045,0.99987,0.91457,0,75,25,50,100,100
788,0.22962,0.58987427,0.79546,0.92679,0.85889,0.99996,0.99852,0.50991,0.97284,0.82926,0.95788,0.99974,0.92195,0,25,25,25,50,75
789,0.22962,0.58987427,0.79546,0.92679,0.85889,0.99996,0.99852,0.50991,0.97284,0.82926,0.95788,0.99974,0.92195,0,25,25,25,50,100
2068,0.2238,0.588729244,0.80392,0.9279,0.84974,0.99272,0.99324,0.47941,0.93765,0.873,0.99799,0.99982,0.91445,0,75,25,50,75,75
2069,0.2238,0.588729244,0.80392,0.9279,0.84974,0.99272,0.99324,0.47941,0.93765,0.873,0.99799,0.99982,0.91445,0,75,25,50,75,100
2697,0.22122,0.587784493,0.84346,0.92238,0.84217,0.96636,0.99761,0.48013,0.92867,0.86333,0.99999,0.99965,0.91014,0,100,25,50,100,50
2066,0.22294,0.587523321,0.80168,0.92863,0.84888,0.99993,0.99288,0.47788,0.93553,0.87387,0.99382,1,0.9152,0,75,25,50,75,25
787,0.22765,0.586730269,0.79269,0.92459,0.85408,0.99149,1,0.51022,0.97523,0.82674,0.96987,0.99949,0.91983,0,25,25,25,50,50
1446,0.22504,0.58668334,0.85385,0.92457,0.83907,0.95221,0.99725,0.48734,0.9389,0.86514,0.9915,0.99917,0.9123,0,50,25,50,100,25
2072,0.22163,0.585722889,0.80716,0.92853,0.84355,0.99575,0.98751,0.47937,0.93266,0.87351,0.99763,0.99996,0.91509,0,75,25,50,100,50
2067,0.22235,0.582984087,0.80118,0.92806,0.84536,0.9976,0.99632,0.47922,0.93601,0.87349,0.99336,0.99992,0.91449,0,75,25,50,75,50
2690,0.21691,0.58103476,0.83511,0.92061,0.83196,0.97806,0.99411,0.47955,0.93098,0.86232,0.99865,0.99899,0.90813,0,100,25,50,75,1
2050,0.21798,0.58036567,0.79387,0.92436,0.84389,0.99972,0.99131,0.47823,0.94021,0.8697,0.99796,0.9991,0.91095,0,75,25,50,1,1
1448,0.22171,0.579888174,0.85317,0.92412,0.84275,0.94363,0.99547,0.4871,0.9345,0.86474,0.98999,0.9997,0.91183,0,50,25,50,100,75
1449,0.22171,0.579888174,0.85317,0.92412,0.84275,0.94363,0.99547,0.4871,0.9345,0.86474,0.98999,0.9997,0.91183,0,50,25,50,100,100
2070,0.22161,0.57911996,0.81345,0.92954,0.83082,0.99982,0.99395,0.48076,0.93373,0.87387,0.98746,1,0.91636,0,75,25,50,100,1
2678,0.21133,0.577986676,0.82073,0.9164,0.82988,0.9974,0.98928,0.47608,0.93306,0.85893,0.99628,0.99875,0.90383,0,100,25,50,1,75
2679,0.21133,0.577986676,0.82073,0.9164,0.82988,0.9974,0.98928,0.47608,0.93306,0.85893,0.99628,0.99875,0.90383,0,100,25,50,1,100
2687,0.21355,0.577926172,0.82794,0.91709,0.83248,0.98996,0.99533,0.4776,0.9316,0.85954,0.99293,0.99844,0.90436,0,100,25,50,50,50
2065,0.2197,0.577473178,0.80155,0.92799,0.84294,0.99916,0.99324,0.47961,0.93293,0.87334,0.98856,0.99948,0.91446,0,75,25,50,75,1
1430,0.21768,0.575911752,0.83376,0.92038,0.83715,0.95394,0.99752,0.4841,0.94784,0.86205,0.99149,1,0.90796,0,50,25,50,25,1
2056,0.2151,0.57413909,0.79512,0.92286,0.84541,0.99217,0.99426,0.47723,0.93785,0.86841,0.99472,0.99991,0.90923,0,75,25,50,25,25
2062,0.21646,0.573979818,0.79949,0.92467,0.8398,0.99764,0.99455,0.47839,0.93318,0.86994,0.99373,0.99934,0.91113,0,75,25,50,50,50
